#天文学和天体物理学|ASTRONOMY ASTROPHYSICS
化学|CHEMISTRY
结晶学|CRYSTALLOGRAPHY
电化学|ELECTROCHEMISTRY
地球化学和地球物理学|GEOCHEMISTRY GEOPHYSICS
地质学|GEOLOGY
数学|MATHEMATICS
气象学和大气科学|METEOROLOGY ATMOSPHERIC SCIENCES
矿物学|MINERALOGY
采矿和矿石处理|MINING MINERAL PROCESSING
海洋学|OCEANOGRAPHY
光学|OPTICS
自然地理学|PHYSICAL GEOGRAPHY
物理|PHYSICS
聚合物科学（高分子科学）|POLYMER SCIENCE
热动力学|THERMODYNAMICS
水资源|WATER RESOURCES
考古学|ARCHAEOLOGY
生物医学社会科学|BIOMEDICAL SOCIAL SCIENCES
商业与经济学|BUSINESS ECONOMICS
通信|COMMUNICATION
犯罪学和刑罚学|CRIMINOLOGY PENOLOGY
人口学|DEMOGRAPHY
教育和教学研究|EDUCATION EDUCATIONAL RESEARCH
民族研究|ETHNIC STUDIES
家族研究|FAMILY STUDIES
地理|GEOGRAPHY
政府与法律学|GOVERNMENT LAW
语言学|LINGUISTICS
社会科学中的数学方法|MATHEMATICAL METHODS IN SOCIAL SCIENCES
心理学|PSYCHOLOGY
公共行政|PUBLIC ADMINISTRATION
社会问题|SOCIAL ISSUES
社会科学其他主题|SOCIAL SCIENCES OTHER TOPICS
社会学|SOCIOLOGY
城市研究|URBAN STUDIES
女性研究|WOMEN S STUDIES
声学|ACOUSTICS
自动化和控制系统  AUTOMATION CONTROL SYSTEMS
计算机科学|COMPUTER SCIENCE
施工和建筑技术|CONSTRUCTION BUILDING TECHNOLOGY
能源和燃料|ENERGY FUELS
工程学|ENGINEERING
影像科学和照相技术|IMAGING SCIENCE PHOTOGRAPHIC TECHNOLOGY
信息科学和图书馆科学|INFORMATION SCIENCE LIBRARY SCIENCE
设备和仪器|INSTRUMENTS INSTRUMENTATION
材料科学|MATERIALS SCIENCE
机械学|MECHANICS
冶金和冶金工程学|METALLURGY METALLURGICAL ENGINEERING
显微镜学|MICROSCOPY
食品科学和技术|FOOD SCIENCE TECHNOLOGY
运筹学和管理科学|OPERATIONS RESEARCH MANAGEMENT SCIENCE
遥感|REMOTE SENSING
机器人学|ROBOTICS
科学与技术其他主题|SCIENCE TECHNOLOGY OTHER TOPICS
光谱学|SPECTROSCOPY
电信|TELECOMMUNICATIONS
运输|TRANSPORTATION
建筑学|ARCHITECTURE
艺术|ART
人文艺术其他主题|ARTS HUMANITIES OTHER TOPICS
历史|HISTORY
历史学和哲学|HISTORY PHILOSOPHY OF SCIENCE
音乐|MUSIC
哲学|PHILOSOPHY
宗教|RELIGION
农业|AGRICULTURE
过敏症|ALLERGY
解剖学和形态学|ANATOMY MORPHOLOGY
麻醉学|ANESTHESIOLOGY
人类学|ANTHROPOLOGY
听力学和言语病理学|AUDIOLOGY SPEECH LANGUAGE PATHOLOGY
行为科学|BEHAVIORAL SCIENCES
生物化学与分子生物学|BIOCHEMISTRY MOLECULAR BIOLOGY
生物多样性与生物保护学|BIODIVERSITY CONSERVATION
生物物理学|BIOPHYSICS
生物工程学和应用微生物学|BIOTECHNOLOGY APPLIED MICROBIOLOGY
心血管系统与心脏病学|CARDIOVASCULAR SYSTEM CARDIOLOGY
细胞生物学|CELL BIOLOGY
牙科学、口腔外科和医学|DENTISTRY ORAL SURGERY MEDICINE
皮肤病学|DERMATOLOGY
发育生物学|DEVELOPMENTAL BIOLOGY
内分泌学和新陈代谢|ENDOCRINOLOGY METABOLISM
昆虫学|ENTOMOLOGY
环境科学与生态学|ENVIRONMENTAL SCIENCES ECOLOGY
进化生物学|EVOLUTIONARY BIOLOGY
渔业|FISHERIES
林业|FORESTRY
胃肠病学和肝脏病学|GASTROENTEROLOGY HEPATOLOGY
一般与普通内科医学|GENERAL INTERNAL MEDICINE
遗传学和遗传性|GENETICS HEREDITY
老年病学和老年医学|GERIATRICS GERONTOLOGY
卫生保健科学和服务|HEALTH CARE SCIENCES SERVICES
血液学|HEMATOLOGY
免疫学|IMMUNOLOGY
法律医学|LEGAL MEDICINE
生命科学生物医学其他主题|LIFE SCIENCES BIOMEDICINE OTHER TOPICS
海洋和淡水生物学|MARINE FRESHWATER BIOLOGY
数学和计算生物学|MATHEMATICAL COMPUTATIONAL BIOLOGY
医学伦理学|MEDICAL ETHICS
医学信息学|MEDICAL INFORMATICS
医学实验室技术|MEDICAL LABORATORY TECHNOLOGY
微生物学|MICROBIOLOGY
真菌学|MYCOLOGY
神经科学与神经学|NEUROSCIENCES NEUROLOGY
护理学|NURSING
营养和饮食学|NUTRITION DIETETICS
产科医学和妇科医学|OBSTETRICS GYNECOLOGY
肿瘤学|ONCOLOGY
眼科学|OPHTHALMOLOGY
整形外科|ORTHOPEDICS
耳鼻喉科学|OTORHINOLARYNGOLOGY
古生物学|PALEONTOLOGY
寄生物学|PARASITOLOGY
病理学|PATHOLOGY
小儿科|PEDIATRICS
药理学和药剂学|PHARMACOLOGY PHARMACY
生理学|PHYSIOLOGY
植物学|PLANT SCIENCES
精神病学|PSYCHIATRY
公共事业、环境和职业健康|PUBLIC ENVIRONMENTAL OCCUPATIONAL HEALTH
放射学、核医学和医学成像|RADIOLOGY NUCLEAR MEDICINE MEDICAL IMAGING
康复|REHABILITATION
生殖生物学|REPRODUCTIVE BIOLOGY
研究与实验医学|RESEARCH EXPERIMENTAL MEDICINE
呼吸系统|RESPIRATORY SYSTEM
风湿病学|RHEUMATOLOGY
运动科学|SPORT SCIENCES
滥用药物|SUBSTANCE ABUSE
外科|SURGERY
毒物学|TOXICOLOGY
移植|TRANSPLANTATION
热带医学|TROPICAL MEDICINE
泌尿学和肾脏学|UROLOGY NEPHROLOGY
兽医学|VETERINARY SCIENCES
病毒学|VIROLOGY
动物学|ZOOLOGY

try {
            InputStream stream = new ClassPathResource("wos_su.txt").getInputStream();
            BufferedReader bf = new BufferedReader(new InputStreamReader(stream, "utf-8"));
            String line;
            List<String> lines;
            while ((line = bf.readLine()) != null) {
                if (StringUtil.isEmpty(line)) {
                    continue;
                }
                if (!line.contains("|")) {
                    continue;
                }
                lines = StringUtil.split(line, '|');
                if (lines.size() != 3) {
                    continue;
                }
                WOS_SU_MAP.put(lines.get(1).trim(), lines.get(2).trim());
            }
        } catch (Exception e) {

        } finally {
            log.info("init ============================== wos_su size : {}", WOS_SU_MAP.size());
        }
